SDD21_Lower	SDD11_Upper	SCD21_Upper	SCD22_Upper	SCD21-SDD21_Upper	NEXT_Upper	SDD21_offset
-6	-5.661596505	-18	-10.46159651	-10	-35	0.872822
-6	-5.648543129	-18	-10.44854313	-10	-35	0.873718
-6	-5.635519185	-18	-10.43551919	-10	-35	0.87691
-6	-5.622524542	-18	-10.42252454	-10	-35	0.877851
-6	-5.609559067	-18	-10.40955907	-10	-35	0.879817
-6	-5.59662263	-18	-10.39662263	-10	-35	0.881865
-6	-5.583715102	-18	-10.3837151	-10	-35	0.882102
-6	-5.570836352	-18	-10.37083635	-10	-35	0.883948
-6	-5.557986255	-18	-10.35798625	-10	-35	0.886271
-6	-5.545164681	-18	-10.34516468	-10	-35	0.887683
-11	-5.532371505	-18	-10.3323715	-10	-35	0.887686
-11	-5.519606601	-18	-10.3196066	-10	-35	0.890352
-11	-5.506869845	-18	-10.30686984	-10	-35	0.892148
-11	-5.494161112	-18	-10.29416111	-10	-35	0.893274
-11	-5.48148028	-18	-10.28148028	-10	-35	0.894551
-11	-5.468827227	-18	-10.26882723	-10	-35	0.896013
-11	-5.45620183	-18	-10.25620183	-10	-35	0.89717
-11	-5.44360397	-18	-10.24360397	-10	-35	0.898113
-11	-5.431033526	-18	-10.23103353	-10	-35	0.898135
-11	-5.41849038	-18	-10.21849038	-10	-35	0.900856
-11	-5.405974413	-18	-10.20597441	-10	-35	0.900893
-11	-5.393485507	-18	-10.19348551	-10	-35	0.901202
-11	-5.381023546	-18	-10.18102355	-10	-35	0.903257
-11	-5.368588414	-18	-10.16858841	-10	-35	0.904134
-11	-5.356179996	-18	-10.15618	-10	-35	0.905844
-11	-5.343798176	-18	-10.14379818	-10	-35	0.905538
-11	-5.331442842	-18	-10.13144284	-10	-35	0.907581
-11	-5.31911388	-18	-10.11911388	-10	-35	0.907579
-11	-5.306811177	-18	-10.10681118	-10	-35	0.909328
-11	-5.294534623	-18	-10.09453462	-10	-35	0.910635
-11	-5.282284106	-18	-10.08228411	-10	-35	0.911494
-11	-5.270059516	-18	-10.07005952	-10	-35	0.913466
